,username,date,content
84,jphnyye,2021-06-10 01:37:21+00:00,"jam 16:00 tiba2 di email on transit (ada harapan😭)
jam 17:00 udh harus pulang kantor, pasrah aja dah
jam 18:00 security kantor chat kalo baru sampe

Langsung balik lagi ke kantor ga mikir dah. Sekian ke impulsif-an kemaren #BTSMeal https://t.co/vkZu9f4mtD"
85,glennmars,2021-06-10 01:09:55+00:00,"Hari Kedua BTS Meal, Donasi ARMY untuk Ojol Capai Rp165 Juta https://t.co/6GyIkUTCbT

#BTSMeal"
86,rifkyrafsangani,2021-06-10 00:49:40+00:00,Kemarin abang² gojek mungkin ada yg cuman nge bit 1 kali dalam sehari demi antri lebih dari 2jam an. Sekiranya kemarin pendapatan nya buat makan dia saja . Tolong para customer lebih dermawan buat kasih tip yg special ! #btsmeal #mcd #ojol
87,rivandiwr,2021-06-10 00:23:41+00:00,Apakah bungkus #btsmeal  adalah instrumen investasi di masa depan?
88,blanthik_ayu,2021-06-10 00:21:49+00:00,@ndorokakung *sodorin es krim #BTSMeal buatan Siska Kohl*
89,mporatne,2021-06-09 23:33:19+00:00,Heboh #BTSMeal buka tiktok semalam. Semuanya upload McD
90,YgwieMalemsenen,2021-06-09 23:21:40+00:00,Mau kentang goreng saus operasi pelastik?! #BTSMeal
91,babasharriyanto,2021-06-09 22:23:46+00:00,@McDonalds_ID Lain kali kalau mau pesan BTS Meal Jangan Ojol Takut Antisipasi Kerumunan mendingan Drive True MCD Harus Datang Awal #McDonaldsXBTS #BTSMeal #mcdindonesia
92,nadyaliauw,2021-06-09 20:40:49+00:00,"drivethru malam.. tidak antri.. 🤩😎 yuhuuuu...
#BTSxMcD #BTSMeal #BTS #BTSMealindonesia #BTSARMY https://t.co/IFq16mZ20Z"
93,GojekOnly,2021-06-09 19:48:24+00:00,"@davidnurbianto Nih Vid dan warga Tangsel yg mau #BTSMeal mending jastip biar aman g takut sold out, dijamin aman dan sudah terbukti 👌

https://t.co/C2koiPTPj1"
94,wakwawban,2021-06-09 19:16:03+00:00,"#OHbigTYPE Jangan lupa tip ya #BTSarmy 
Biar besok
semangat lagi cari order
#BTSMeal hoho
cuma bisa kasih ini untuk antusiasnya

SssttT scan atau tf https://t.co/0X73IQIxMb"
95,enjeeel_,2021-06-09 18:50:16+00:00,"#BTSMeal 

Hayuk.. https://t.co/shKRukRMoz"
96,enjeeel_,2021-06-09 18:48:43+00:00,"Jakarta.. tinggal 4 lagi
#BTSMeal https://t.co/zgkMjgn95t"
97,ramansyah__,2021-06-09 17:50:12+00:00,"Akhirnya dapet juga #BTSMeal 
seperti seperti sepertii.... seperti mati lampu ya sayaang... https://t.co/udbcsON4ti"
98,pardamean26,2021-06-09 17:46:10+00:00,"Gaes Buat nanti siang gw buka jasa pembelian #BTSMeal #BTSxMcD  area cibubur ... silahkan DM.
#ARMY #ARMYsSongForBTS2021 #BTSARMY"
99,rizkiagungpr,2021-06-09 17:46:05+00:00,"Kelaguan lu, make ngantri bts meal, emak lo nyemur jengkol kaga kemakan

#BTSMeal #BTSxMcD"
100,achietmokoginta,2021-06-09 17:38:30+00:00,@jOhn_mOel He's so happy too get #BTSMeal 💜 https://t.co/XuEAp1zue9
101,thepan_316,2021-06-09 17:01:08+00:00,"There you go guys.
#BTSxMcD #btsmeal #BTSMealindonesia 

https://t.co/9PhXugRXbt https://t.co/R62LHSREPK"
102,thepan_316,2021-06-09 16:50:57+00:00,"Kapan lagi beli box #BTSMEAL #BTSxMcD gratis VGA gan?!?!?!
@ezash @kevinchoc https://t.co/dU1jzj7zqB"
103,chacaatmika,2021-06-09 16:33:28+00:00,"Berasa lagi makan sama Jin 🍟🥤

.. Jin dan Jun 🤭

#btsmeal #btsmcdonalds #btsmealmcdonalds #mcd @ McDonald's https://t.co/cJhIxFHHKW"
104,avysyahrin2,2021-06-09 16:23:54+00:00,"Our #BTSMeal  today.. @lasmadyna @Chocopiemcd_ 🍟🍟🍟
Parapapapa~ @McDonalds @BTS_twt I’m purplin’ it💜 https://t.co/oXeZWQ2yZz"
105,affandymurad,2021-06-09 16:15:44+00:00,"Due to high demand for #BTSMeal #BTSxMcD, All of @McDonalds_ID merchants closed all of their availability on @gojekindonesia app. It makes all drivers reject my order attempts. So I decide to order #BTSMeal by motorcycle through Drive-Thru lane. https://t.co/q8Fa1yow82"
106,wakwawban,2021-06-09 16:06:02+00:00,Ada lagi ini dingin dingin empuk kenyal minjmnya ini ga kalo beli #BTSMeal ? https://t.co/Kdb6hcpq0P
107,affandymurad,2021-06-09 16:05:10+00:00,"Let’s see #BTSxMcD  #BTSMeal  euphoria  in @McDonalds_ID 🇮🇩 now! cc: @McDonalds @BTS_twt @bts_bighit. Actually, this meal comprises medium cola, french fries, 10 chicken nuggets, and the 2 special sauces, Cajun Sauce and  Sweet Chili Sauce. It prices IDR 50.000 for one package. https://t.co/CGdkTTK0X0"
108,jokisoft,2021-06-09 15:48:07+00:00,"...gak rugi antri panjang...😂💜💜💜💜💜

#planethumor 
#humor 
#humorindonesia 
#lucu 
#btsmeal 
#btsmealmcdonalds
#btsmealindonesia @ Jakarta, Indonesia https://t.co/31maeHhdO9"
109,ismibungsoe,2021-06-09 15:38:47+00:00,Finally dpt cm setengah jam aja kok tadi nunggunya #BTSMeal https://t.co/1EIJFQvlVO
110,this_is_via_,2021-06-09 15:25:37+00:00,"finally now ..its my time 🥺😭
aa makasih abang2 shopeefood 💜
#BTSMeal #BTSxMcDonalds https://t.co/Je5bQNRlDK"
111,andy_godzilla,2021-06-09 15:22:20+00:00,"Ga dpt BTS Meal McD...dptnya yg versi sate ayam...
#BTSMeal #BTSARMY #sateayam https://t.co/bR29P3I9Iv"
112,_yinad,2021-06-09 15:09:14+00:00,"Thank you banget ya mas mas ojol tadi pagi! 💜
Walaupun gue bukan Army jujur gue kepengen tau kayak gimana #BTSMeal yang rame itu. Untung pagi masih sepi jadi cepet cuman 15 menitan. 
Luv 💜
Salam dari gue yang bukan Army
tapi jujur cajun sauce-nya nagih 😭"
